1, 22.1068628956734328664385723519
2, 46.8617055490930144005892117273
3, 269.416360533612876363603764634
4, 269.432153721643739844973251233
5, 269.458769181690271007095475375
6, 269.453811285094621215432543543
7, 269.438934148424347140671298418
8, 269.440176333483917602911132322
9, 269.408634353132396761846193005
10, 269.431798585979480704327230467
11, 269.439979871380960320165781342
12, 269.454887708483238863866946478
13, 269.408698207083949513473822403
14, 269.446469583072177829645422614
15, 269.457662178904975612518356745
16, 269.458704740621413717646444551
