1, 22.4324019738940381247440270850
2, 56.6183457832703807107426381717
3, 79.5994937769381887619957771181
4, 103.428325753107996425737455974
5, 127.575298267970147201047847490
6, 151.937058845492674209601710031
7, 176.335847518068973744155616817
8, 200.768622908030135768013913031
9, 225.387146548527365052460967936
10, 249.853009260091525905160073152
11, 269.457952332522291850948361995
12, 269.422356210324000898911808993
13, 269.448545961718240066238808660
14, 269.443287788947644323987710973
15, 269.458827846754260134842302501
16, 269.447128774213952462574293347
